,Lost,Confusee,Spurious,contribution_to_overall_error,char_occurance,total_detected_chars,contribution_to_detection_error
M,5.922278466053456,6.226586043213646,28.68527308896811,0.005514959327174962,55.0,253855.0,0.004727107994721396
S,8.034696173891856,15.228571727933854,51.218337885792785,0.007528448849981179,71.0,518035.0,0.0055980773499860045
X,32.03415040855446,56.97498701090906,3.9414039390532016,0.012929058646993601,78.0,255239.0,0.0125372689910241
b,1.0018830163246197,17.28756471796771,25.62111242019046,0.004630368011359836,69.0,388738.0,0.0038586400094665304
p,10.38696834403978,1.97251914706463,1.4336047217681227,0.007799521109403883,156.0,384639.0,0.007019568998463494
u,9.04812125752932,4.143321648969443,14.158338387037869,0.007890542395884293,156.0,443569.0,0.006537877985161271
ढ,2.8144849040987454,6.895176359523984,2.7664186040014487,0.004802778407308628,251.0,666281.0,0.0034519969802530763
৪,12.210350534225961,87.78964946577406,0.0,0.007499662515186817,15.0,200009.0,0.007499662515186817
“,0.0,0.0,462.9606484602699,0.006741829421343595,0.0,385652.0,0.0
',16.682150770167738,22.81515291589523,49.16123309548548,0.018209668262690534,77.0,373428.0,0.013925040436175113
C,0.8089771840818115,2.883235680975726,95.74651164929773,0.007686920278095694,64.0,468328.0,0.004270511265608719
D,23.72510628330769,28.42774895422228,12.852662170874224,0.0040932859876587424,51.0,390884.0,0.0035816252392013997
G,5.6963014621008075,13.672025298191611,42.29391111966141,0.006011927664486341,16.0,166336.0,0.004208349365140439
H,0.0,1.2811007460231834,95.25132779846409,0.0028946225806876042,10.0,380015.0,0.0002631475073352368
K,0.0,0.0,44.671781756180735,0.0021136733529200395,5.0,141933.0,0.0
N,2.217006958711024,0.0,145.84672896904692,0.006083607485645026,17.0,427378.0,0.00023398490329403946
O,17.794854463334794,38.135012611766136,40.716090248631964,0.005992286728523045,28.0,417203.0,0.004554137913677514
R,3.876574030148506,18.586209148893925,13.290280517988196,0.005704478263457608,63.0,403192.0,0.004960415881267485
[,0.0,36.15771585088426,277.27215017306366,0.005619626232415253,1.0,480459.0,0.00020813430490426862
e,3.1959719720960775,0.8299047067782492,155.69272465223517,0.01787287280897729,718.0,548317.0,0.012401585214392405
g,5.694788135131305,0.7492396411324169,34.12076352021628,0.0028343126246825026,70.0,458665.0,0.0017441923844200014
h,3.9766569183075395,3.0048376340291254,25.640530770907503,0.0038599869214560783,169.0,440416.0,0.0027246966504395845
r,3.690747153038561,0.9312332006661971,102.46165210599749,0.01205273962723445,340.0,506109.0,0.007508264030080477
°,0.0,0.0,216.84814478874426,0.006328179382791571,0.0,237035.0,0.0
०,6.524941793331019,58.913912526354984,27.220674423476808,0.10052150902545687,1784.0,581965.0,0.08540032476179839
॰,35.89234363767074,64.10765636232925,0.0,0.01917086029235562,16.0,83460.0,0.01917086029235562
—,0.0,0.0,708.6926493619861,0.01566150607204293,0.0,389490.0,0.0
>,0.0,0.0,200.96127060682284,0.005405068290958984,1.0,240515.0,0.0
?,0.0,3.27438370846731,5.239013933547696,0.0006183527083848628,36.0,485160.0,0.00020611756946162092
F,3.746249595895485,3.367491074788836,15.960026644714103,0.006912543753259892,36.0,318262.0,0.0059699241505426345
_,0.0,22.45878926683066,91.07925467243476,0.0028274945570729774,3.0,141468.0,0.0007068736392682444
c,5.650391136206567,3.1573036599173614,26.715142675324483,0.007278662490625965,241.0,453380.0,0.005734703780493185
d,3.857475058767684,17.49927202138892,59.361283066841594,0.006237763419743125,188.0,496973.0,0.004628018021099738
f,9.355045316852285,9.215490815004243,3.93495289531201,0.008174080671364492,113.0,293611.0,0.007492907282084118
l,7.194880024224805,6.148037586487063,83.19298645700209,0.00968879204490854,228.0,505739.0,0.006327374396674965
q,0.0,9.080883210147125,0.0,0.0018652801417612906,11.0,214445.0,0.0018652801417612906
s,4.512811631909136,12.740717287129607,22.58603845337363,0.008674036554216152,350.0,438089.0,0.007076187715281598
t,3.9940307140433466,5.614202617390106,28.069084538232786,0.015490785164627775,543.0,458337.0,0.013963524655439121
w,7.316185237408371,0.0,22.047889148777017,0.0031643650306020467,59.0,379223.0,0.0015821825153010233
x,12.550162896953507,42.92066105111662,7.972339555126203,0.014293529959731675,43.0,202889.0,0.013800649616292654
y,1.8552120529002427,0.695704519837591,20.85729576759901,0.004019141832835853,107.0,373214.0,0.002947370677412959
B,20.43502481797367,3.570953283777853,14.678814753742195,0.006963516743079657,64.0,359014.0,0.006684976073356471
”,0.0,0.0,776.1027511779906,0.015199878400972791,0.0,65790.0,0.0
`,0.0,0.0,244.4944381138423,0.011720657659124207,3.0,153575.0,0.0
ङ,0.0,0.0,162.9325435122633,0.003993477320376718,2.0,150245.0,0.0
१,4.461296024239853,9.18474865251785,60.8175191412859,0.00593787288427934,266.0,353662.0,0.0036758260712205443
२,0.7607864438226076,0.0,0.7572642843604659,0.005248655032148012,216.0,76210.0,0.002624327516074006
४,0.0,1.151894967759582,18.215457289069676,0.002624327516074006,71.0,76210.0,0.001312163758037003
