,Lost,Confusee,Spurious,contribution_to_overall_error,char_occurance,total_detected_chars,contribution_to_detection_error
‘,0.0,0.0,100.0,0.002567591855598634,0.0,38947.0,0.0
Y,0.0,0.0,109.38480502017033,0.0016008196196452586,0.0,249872.0,0.0
j,0.0,0.0,0.0,0.0,5.0,181533.0,0.0
¡,0.0,0.0,100.0,0.0008429322240345264,0.0,237267.0,0.0
ॅ,33.33333333333333,53.333333333333336,0.0,0.00748317724193112,15.0,173723.0,0.00748317724193112
६,7.151569728060826,23.272170210084695,12.32003910233046,0.003938103514363576,80.0,380894.0,0.0018377816400363355
॑,0.0,0.0,159.71989185147834,0.002608083319568449,0.0,115027.0,0.0
॒,0.0,0.0,100.0,0.0016044153510460786,0.0,62328.0,0.0
८,2.8068085694063214,17.651311132977714,2.3405365918810697,0.0032368325651250707,139.0,154472.0,0.002589466052100057
০,0.0,100.0,0.0,0.0034774444260912652,4.0,115027.0,0.0034774444260912652
॥,0.0,0.0,0.0,0.0,1.0,20120.0,0.0
<,0.0,0.0,100.0,0.002071208135705557,0.0,144843.0,0.0
{,0.0,0.0,100.0,0.001647541456261893,0.0,121393.0,0.0
€,0.0,0.0,1692.3846669030454,0.04596252084728624,0.0,76149.0,0.0
®,20.29001869065091,0.0,89.85499065467454,0.003763218304293832,1.0,79719.0,0.0012544061014312775
ॐ,0.0,100.0,0.0,0.0015737127030089387,1.0,63544.0,0.0015737127030089387
»,0.0,0.0,100.0,0.0411522633744856,0.0,2430.0,0.0
½,0.0,100.0,0.0,0.0411522633744856,1.0,2430.0,0.0411522633744856
⁄,0.0,0.0,100.0,0.0411522633744856,0.0,2430.0,0.0
#,44.80290862231631,37.22070092275123,8.98819522746623,0.009204501000989483,4.0,43457.0,0.006903375750742113
ও,0.0,100.0,0.0,0.0061823802163833074,1.0,16175.0,0.0061823802163833074
м,100.0,0.0,0.0,0.03059975520195838,1.0,3268.0,0.03059975520195838
£,0.0,0.0,200.0,0.008528784648187633,0.0,23450.0,0.0
™,0.0,0.0,100.0,0.0042643923240938165,0.0,23450.0,0.0
ऱ,0.0,0.0,100.0,0.005136106831022086,0.0,19470.0,0.0
